'Yogunluk', 'Porozite', 'P_Hizi', 'S_Hizi', 'Statik_Elastisite', 'TEBD', 'Dinamik_Poisson', 'Dinamik_Elastisite'
2.67,5.90,2850.00,1620.00,4200.00,30.00,0.26,29401.74
2.66,5.01,3000.00,1750.00,7238.06,27.72,0.24,30449.69
2.67,6.31,2800.00,1580.00,4200.00,30.00,0.27,14586.77
2.73,10.70,2700.00,1550.00,2900.00,40.00,0.25,43474.38
2.70,7.52,2569.60,1480.00,2697.18,47.74,0.25,16727.24
2.76,11.83,2660.00,1550.00,885.32,57.44,0.25,16444.49
3.12,0.33,4222.90,2661.30,13848.12,75.00,0.17,51734.20
3.12,0.25,4210.00,2650.00,13500.00,74.00,0.17,60319.73
2.66,5.55,2600.00,1460.00,797.26,31.38,0.27,15701.66
2.91,12.92,3150.00,1720.00,332.02,55.00,0.29,23016.42
2.69,7.14,2956.00,1476.00,449.43,26.35,0.33,15648.64
2.70,10.62,3432.00,1715.00,1024.46,76.20,0.33,21202.11
2.71,12.26,3642.00,1824.00,979.41,45.20,0.33,24043.91
2.70,10.01,3343.33,1671.67,817.77,49.25,0.33,20136.82
2.72,8.76,2874.00,1432.00,540.04,21.58,0.33,14873.52
2.71,11.29,2856.00,1432.00,2991.79,51.04,0.33,14807.48
2.72,10.42,2946.00,1474.00,781.90,24.88,0.33,15766.00
2.73,9.86,3216.00,1619.00,545.76,35.78,0.33,19049.35
2.73,10.12,3548.00,1778.00,543.15,34.87,0.33,22966.48
2.72,10.27,3944.00,1876.00,1220.24,88.87,0.35,25934.20
2.71,9.98,2856.00,1414.00,1058.88,70.32,0.34,14520.26
2.72,9.76,2948.00,1478.00,2592.96,88.42,0.33,15811.79
2.73,9.05,3226.00,1616.00,1066.54,50.33,0.33,18988.45
2.71,9.92,3813.00,1908.00,664.62,27.11,0.33,26262.69
2.72,9.94,3222.70,1602.70,1200.59,49.32,0.34,18660.54
2.75,9.32,2312.00,1214.00,758.46,15.92,0.31,10620.60
2.76,12.66,2458.00,1226.00,786.34,41.11,0.33,11073.22
2.74,10.36,2214.00,1108.00,2697.18,47.74,0.33,8977.90
2.76,11.96,2456.00,1224.00,885.32,57.44,0.33,11044.90
2.76,11.83,2526.00,1268.00,332.02,26.93,0.33,11823.46
2.75,11.11,2396.00,1196.00,1523.63,37.39,0.33,10502.79
2.75,11.21,2393.67,1206.00,1330.19,37.76,0.33,10657.47
2.73,7.42,2876.00,1312.00,1369.00,122.40,0.37,12847.77
2.72,8.64,3056.00,1418.00,3268.70,39.62,0.36,14900.88
2.72,9.32,2942.00,1326.00,1163.50,45.87,0.37,13141.84
2.73,9.84,3457.00,1746.00,4091.50,44.91,0.33,22131.99
2.73,8.81,3082.75,1450.50,2473.18,63.20,0.36,15570.02
2.68,11.58,2348.00,1172.00,530.62,32.02,0.33,9819.18
2.69,12.93,2686.00,1342.00,390.51,48.54,0.33,12918.28
2.70,12.76,2814.00,1248.00,589.90,29.10,0.38,11580.55
2.69,13.22,2978.00,1486.00,797.26,31.38,0.33,15879.02
2.69,12.57,3214.00,1608.00,1223.47,17.41,0.33,18532.95
2.67,13.16,3226.00,1614.00,2271.62,16.53,0.33,18561.79
2.70,12.76,3328.00,1668.00,1696.36,55.98,0.33,19981.82
2.70,12.14,3412.00,1706.00,396.32,12.90,0.33,20965.23
2.69,12.64,3000.75,1480.50,987.01,30.48,0.34,15791.16
2.71,14.03,3318.00,1658.00,623.90,63.28,0.33,19880.10
2.66,13.99,2918.00,1448.00,178.50,9.52,0.34,14917.52
2.68,15.49,3090.00,1546.00,468.70,11.83,0.33,17104.44
2.69,13.54,3258.00,1628.00,815.58,58.26,0.33,18990.53
2.68,14.34,3088.67,1540.67,487.59,26.54,0.33,16960.21
2.71,11.26,2456.00,1128.00,1528.00,37.10,0.37,9428.93
2.71,12.32,2628.00,1310.00,1059.00,29.44,0.33,12425.22
2.72,9.56,3114.00,1458.00,2519.00,26.03,0.36,15749.40
2.71,11.70,3254.00,1327.00,2125.00,23.05,0.40,13365.40
2.72,12.56,3348.00,1126.00,987.00,19.40,0.44,9921.34
2.74,13.14,2857.00,1326.00,2408.00,30.10,0.36,13138.95
2.72,11.46,2925.00,1242.00,3312.00,24.48,0.39,11654.14
2.72,11.57,2940.29,1273.86,1991.14,27.26,0.38,12223.10
